business_id,categories
5UmKMjUEUNdYWqANhGckJw,"['Fast Food', 'Restaurants']"
mVHrayjG3uZ_RLHkLj-AMg,"['Bars', 'American (New)', 'Nightlife', 'Lounges', 'Restaurants']"
KayYbHCt-RkbGcPdGOThNg,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
wJr6kSA5dchdgOdwH6dZ2w,"['Burgers', 'Breakfast & Brunch', 'American (Traditional)', 'Restaurants']"
fNGIbpazjTRdXgwRY_NIXA,"['Bars', 'American (Traditional)', 'Nightlife', 'Lounges', 'Restaurants']"
b9WZJp5L1RZr4F1nxclOoQ,"['Breakfast & Brunch', 'Sandwiches', 'Restaurants']"
zaXDakTd3RXyOa7sMrUE1g,"['Cafes', 'Restaurants']"
WETE_LykpcnrC1sFcQ5EGg,"['Pubs', 'Irish', 'Nightlife', 'Bars', 'Restaurants']"
6o3RK6rTcN3nw-j-r2nQmA,"['Pizza', 'Restaurants']"
rv7CY8G_XibTx82YhuqQRw,['Restaurants']
SQ0j7bgSTazkVQlF5AnqyQ,"['Chinese', 'Restaurants']"
wqu7ILomIOPSduRwoWp4AQ,"['Breakfast & Brunch', 'American (Traditional)', 'Diners', 'Restaurants']"
P1fJb2WQ1mXoiudj8UE44w,"['Restaurants', 'Italian']"
8QlnAcjGE6dgfKTVoxrPvQ,"['American (Traditional)', 'Comfort Food', 'Caterers', 'Event Planning & Services', 'Restaurants']"
t_gan0EXAw8csKIeFyazJw,"['Italian', 'Pizza', 'Restaurants']"
PK6aSizckHFWk8i0oxt5DA,"['Burgers', 'Fast Food', 'Restaurants']"
6ilJq_05xRgek_8qUp36-g,"['Burgers', 'Fast Food', 'Restaurants']"
1qCuOcks5HRv67OHovAVpg,"['Pubs', 'Bars', 'American (New)', 'Nightlife', 'Restaurants']"
sbW8qHJgzEIH42B0S-3New,"['Arts & Entertainment', 'American (Traditional)', 'Bars', 'Pubs', 'Arcades', 'Nightlife', 'Restaurants']"
W7ysp8GLCBrs0GXIVwAcBQ,"['Burgers', 'Fast Food', 'Restaurants']"
-taSf0shFSUKy9iCXnySsA,"['Pizza', 'Restaurants']"
McikHxxEqZ2X0joaRNKlaw,"['Food', 'American (Traditional)', 'Breweries', 'Restaurants']"
EoAY1JSVeJriBzId8lUQwQ,"['Bars', 'American (New)', 'Nightlife', 'Restaurants']"
TfvWSIAMFZ9zI3y2-K6wOA,"['Chinese', 'Restaurants']"
tU-YtoW339PXJmUGSix_AQ,"['Bars', 'American (Traditional)', 'Nightlife', 'Restaurants']"
6p9TlP2I8S4agxYMNFSDjg,"['American (Traditional)', 'Pizza', 'Gluten-Free', 'Restaurants']"
JDDeaNfb0JXD1NbznSIC9g,"['Gluten-Free', 'Asian Fusion', 'Chinese', 'Restaurants']"
FiXamVMgMf9U0VqFHDZSEA,"['Soup', 'Sandwiches', 'Salad', 'Restaurants']"
uLnDFdn011hEroQQMLmxNQ,"['Pizza', 'Restaurants']"
eznh0XjVtv924K-KYx_ilQ,"['American (Traditional)', 'Diners', 'Restaurants']"
usSROUMiAgPcxV3Ym0OxMQ,"['Seafood', 'American (Traditional)', 'Restaurants']"
CL3tZqbYT7B5zgewKCS6-Q,"['Burgers', 'Fast Food', 'Restaurants']"
u22QDAON1kk0wjoTliyftw,"['Pizza', 'Restaurants']"
53Yk2EODWnV9qHQECzeHVQ,"['Pizza', 'Restaurants']"
iBZRphMDFcS2aMbawc1OvA,"['Chinese', 'Restaurants']"
GJAv1nAfnHuab8oRyr8mXg,"['American (Traditional)', 'Restaurants']"
r8BwdblCW-ZUES37BL0khw,"['Burgers', 'Breakfast & Brunch', 'Diners', 'Restaurants']"
mIiHJkpK8nZvW_45LlhrbA,"['Pizza', 'Restaurants']"
U--dvTM2j2q-ulb_xKniQg,"['Chinese', 'Restaurants']"
OZfpG8tDCcIEq8pzgZdyKw,"['Bars', 'American (Traditional)', 'Burgers', 'Nightlife', 'Sports Bars', 'Restaurants']"
