business_id,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
5UmKMjUEUNdYWqANhGckJw,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00
mVHrayjG3uZ_RLHkLj-AMg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
KayYbHCt-RkbGcPdGOThNg,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00
wJr6kSA5dchdgOdwH6dZ2w,08:00-02:00,08:00-02:00,08:00-02:00,08:00-02:00,08:00-02:00,08:00-02:00,08:00-02:00
fNGIbpazjTRdXgwRY_NIXA,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
b9WZJp5L1RZr4F1nxclOoQ,06:00-14:30,06:00-14:30,06:00-14:30,06:00-14:30,06:00-14:30,06:00-14:30,06:00-14:30
zaXDakTd3RXyOa7sMrUE1g,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00,07:00-14:00
WETE_LykpcnrC1sFcQ5EGg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
6o3RK6rTcN3nw-j-r2nQmA,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
rv7CY8G_XibTx82YhuqQRw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
SQ0j7bgSTazkVQlF5AnqyQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
wqu7ILomIOPSduRwoWp4AQ,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00
P1fJb2WQ1mXoiudj8UE44w,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
8QlnAcjGE6dgfKTVoxrPvQ,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00,10:30-22:00
t_gan0EXAw8csKIeFyazJw,10:00-00:00,10:00-00:00,10:00-00:00,10:00-00:00,10:00-00:00,10:00-00:00,10:00-00:00
PK6aSizckHFWk8i0oxt5DA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
6ilJq_05xRgek_8qUp36-g,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00,00:00-00:00
1qCuOcks5HRv67OHovAVpg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
sbW8qHJgzEIH42B0S-3New,11:30-00:00,11:30-00:00,11:30-00:00,11:30-00:00,11:30-00:00,11:30-00:00,11:30-00:00
W7ysp8GLCBrs0GXIVwAcBQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
-taSf0shFSUKy9iCXnySsA,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
McikHxxEqZ2X0joaRNKlaw,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00
EoAY1JSVeJriBzId8lUQwQ,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00,11:00-02:00
TfvWSIAMFZ9zI3y2-K6wOA,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
tU-YtoW339PXJmUGSix_AQ,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
6p9TlP2I8S4agxYMNFSDjg,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00
JDDeaNfb0JXD1NbznSIC9g,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
FiXamVMgMf9U0VqFHDZSEA,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00,06:30-21:00
uLnDFdn011hEroQQMLmxNQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
eznh0XjVtv924K-KYx_ilQ,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00,06:00-00:00
usSROUMiAgPcxV3Ym0OxMQ,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
CL3tZqbYT7B5zgewKCS6-Q,close all day,close all day,close all day,close all day,close all day,close all day,close all day
u22QDAON1kk0wjoTliyftw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
53Yk2EODWnV9qHQECzeHVQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
iBZRphMDFcS2aMbawc1OvA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
GJAv1nAfnHuab8oRyr8mXg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
r8BwdblCW-ZUES37BL0khw,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00,06:00-14:00
mIiHJkpK8nZvW_45LlhrbA,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00,11:00-21:00
U--dvTM2j2q-ulb_xKniQg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
OZfpG8tDCcIEq8pzgZdyKw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
8Nm_jcCYtMXYW0ODSHDiXA,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00,16:30-22:00
fJjBMRGnkzc7nVm6VqxoxQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
T49ZvBa6mD4xHSmjHe-ArA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
eOv0Dbq2E8sd0CKMAqTImw,close all day,close all day,close all day,close all day,close all day,close all day,close all day
_jsJFrAmFVPRio0eEVExbA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
Lml0-yTNsMYsP9IrSMxw9A,close all day,close all day,close all day,close all day,close all day,close all day,close all day
JX2gDf2uy2UGuKPpcKT-IA,close all day,close all day,close all day,close all day,close all day,close all day,close all day
QVZBd_eu0oJ4IN0md2XPTQ,close all day,close all day,close all day,close all day,close all day,close all day,close all day
udZJ8YgsHdqtFDQkyPTV1Q,close all day,close all day,close all day,close all day,close all day,close all day,close all day
ucKQlQvOeJxETLNkpKcaSw,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00
ZL6DNzyenFm9Kpz6uADlNg,close all day,close all day,close all day,close all day,close all day,close all day,close all day
OcTG-KzDleuRub-pb6JS3Q,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00
