subcity,state,country,city
Dravosburg,PA,US,Pittsburgh
Braddock,PA,US,Pittsburgh
Carnegie,PA,US,Pittsburgh
Pittsburgh,PA,US,Pittsburgh
Homestead,PA,US,Pittsburgh
Munhall,PA,US,Pittsburgh
West Homestead,PA,US,Pittsburgh
West Mifflin,PA,US,Pittsburgh
McKees Rocks,PA,US,Pittsburgh
Mc Kees Rocks,PA,US,Pittsburgh
Bellvue,PA,US,Pittsburgh
Bellevue,PA,US,Pittsburgh
Swissvale,PA,US,Pittsburgh
Aspinwall,PA,US,Pittsburgh
Brookline,PA,US,Pittsburgh
Mount Lebanon,PA,US,Pittsburgh
Castle Shannon,PA,US,Pittsburgh
Belmont,NC,US,Charlotte
Huntersville,NC,US,Charlotte
Matthews,NC,US,Charlotte
Mount Holly,NC,US,Charlotte
Pineville,NC,US,Charlotte
Charlotte,NC,US,Charlotte
Fort Mill,SC,US,Charlotte
Lake Wylie,SC,US,Charlotte
Clover,SC,US,Charlotte
Rock Hill,SC,US,Charlotte
De Forest,WI,US,Madison
DeForest,WI,US,Madison
Mc Farland,WI,US,Madison
Middleton,WI,US,Madison
Sun Prairie,WI,US,Madison
Windsor,WI,US,Madison
Madison,WI,US,Madison
Monona,WI,US,Madison
Urbana,IL,US,Urbana-Champaign
Champaign,IL,US,Urbana-Champaign
Savoy,IL,US,Urbana-Champaign
Phoenix,AZ,US,Phoenix
Scottsdale,AZ,US,Phoenix
Glendale,AZ,US,Phoenix
Ahwatukee,AZ,US,Phoenix
Pheonix,AZ,US,Phoenix
Anthem,AZ,US,Phoenix
Mesa,AZ,US,Phoenix
Gold Canyon,AZ,US,Phoenix
Apache Junction,AZ,US,Phoenix
Casa Grande,AZ,US,Phoenix
Chandler,AZ,US,Phoenix
Coolidge,AZ,US,Phoenix
Florence,AZ,US,Phoenix
Gilbert,AZ,US,Phoenix
Queen Creek,AZ,US,Phoenix
Sun Lakes,AZ,US,Phoenix
Tempe,AZ,US,Phoenix
Fountain Hills,AZ,US,Phoenix
glendale,AZ,US,Phoenix
Black Canyon City,AZ,US,Phoenix
Buckeye,AZ,US,Phoenix
Goodyear,AZ,US,Phoenix
Litchfield Park,AZ,US,Phoenix
Tonopah,AZ,US,Phoenix
Surprise,AZ,US,Phoenix
